203034	Gerenciamento das Polcticas de Educacao		2109
203024	Gestco Educacional e Articulacao com os Sistemas de Ensino		2030
6344	Regulacao e Supervisco dos Cursos de Graduacao e de Instituicaes Pcblicas e Privadas de Ensino Superior		2032
203035	Funcionamento das Instituicaes Federais de Educacao Bcsica		2030
203029	Funcionamento de Instituicaes Federais de Ensino Superior		2032
203028	Apoio c Capacitacao e Formacao Inicial e Continuada para a Educacao Bcsica		2030
20309	Prevencao de Uso e/ou Abuso de Drogas		2060
203329	Fomento cs Acaes de Graduacao, Pcs-Graduacao, Ensino, Pesquisa e Extensco		2032
8282	Reestruturacao e Expansco de Instituicaes Federais de Ensino Superior		2032
142120	Implantacao da Universidade Federal do Oeste da Bahia - UFOB		2032
142119	Implantacao da Universidade Federal do Sul da Bahia - UFESBA		2032
4002	Assistcncia ao Estudante de Ensino Superior		2032
203018	Funcionamento de Instituicaes Federais de Educacao Profissional e Tecnolcgica	PRONATEC	2031
203026	Apoio c Formacao Profissional, Cientcfica e Tecnolcgica	PRONATEC	2031
8585	Atencao c Sacde da Populacao para Procedimentos em Mcdia e Alta Complexidade	TETO MAC	2015
11331	Implantacao da Universidade Federal da Integracao Latino-Americana - UNILA		2032
202331	Ampliacao das Prcticas de Gestco Participativa, de Controle Social, de Educacao Popular em Sacde e Implementacao de Polcticas de Promocao da Equidade		2015
8871	Apoio c Elaboracao e Monitoramento de Planos de Saneamento Regionais e Nacional		2068
6516	Aperfeicoamento e Avaliacao dos Servicos de Hemoterapia e Hematologia	Sangue	2015
21036	Promocao da Educacao do Campo		2066
203020	Avaliacao da Educacao Superior e da Pcs-Graduacao		2032
6503	Censo da Educacao Superior		2032
203031	Exames e Avaliacaes da Educacao Bcsica		2030
4014	Censo Escolar da Educacao Bcsica	Censo Escolar	2030
4000	Estudos e Pesquisas Educacionais e Socioeducativas		2109
6294	Promocao de Cursos para o Desenvolvimento Local Sustentcvel		2109
4086	Funcionamento e Gestco de Instituicaes Hospitalares Federais		2032
6380	Fomento ao Desenvolvimento da Educacao Profissional e Tecnolcgica	PRONATEC	2031
6358	Capacitacao de Recursos Humanos da Educacao Profissional e Tecnolcgica	PRONATEC	2031
21020	Promocao e Defesa dos Direitos da Pessoa com Deficicncia		2063
20230	Fomento c Producao Pesqueira e Aquccola		2052
11330	Implantacao da Universidade Federal do Oeste do Parc - UFOPA		2032
142127	Implantacao da Universidade Federal do Sul e Sudeste do Parc - UNIFESSPA		2032
142117	Implantacao da Universidade Federal do Cariri - UFCA		2032
2692	Fiscalizacao do Cumprimento de Contrapartidas Produtivas Exigidas pelos Regimes Especiais Regulamentados no Contexto da Polctica Industrial		2055
2022	Anclise de Processos contra Prcticas Desleais e Ilegais		2024
202227	Promocao e Gestco do Comcrcio Exterior		2024
509	Apoio ao Desenvolvimento da Educacao Bcsica	Promed	2030
203635	Servicos de Metrologia e Qualidade Industrial		2055
151529	Implantacao de Unidades da Defensoria Pcblica da Unico		2020
2725	Prestacao de Assistcncia Jurcdica ao Cidadco		2020
20357	Polctica Nacional de Justica		2020
8974	Democratizacao do Acesso c Cidadania e c Justica		2020
203516	Polctica Pcblica sobre Drogas		2060
72423	Implementacao do Plano Nacional de Seguranca Pcblica para a Realizacao dos Grandes Eventos		2070
2334	Protecao e Defesa do Consumidor		2020
2810	Preservacao do Patrimcnio Arquivcstico Nacional		2020
2723	Policiamento Ostensivo nas Rodovias e Estradas Federais		2070
86151	Processamento e Arrecadacao de Multas Aplicadas pela Polccia Rodovicria Federal		2070
2726	Prevencao e Repressco ao Trcfico Ilccito de Drogas e a Crimes Praticados contra Bens, Servicos e Interesses da Unico		2070
202414	Fiscalizacao e Demarcacao de Terras Indcgenas, Localizacao e Protecao de cndios Isolados e de Recente Contato		2065
2384	Promocao do Desenvolvimento Sustentcvel dos Povos Indcgenas		2065
151130	Realizacao da 1c Confercncia Nacional de Polctica Indigenista		2112
8635	Preservacao Cultural dos Povos Indcgenas		2065
1151320	PROJETO COMUNIDADE INDIGENA GUARANI/BR101 c DNIT		151
1151121	PROGRAMA DE COMPENSACAO COMPLEXO JURUENA		151
1151123	PROJETO INDIOS ISOLADOS BR-429 c RO		151
2807	Promocao e Defesa da Concorrcncia		2020
6067	Defesa dos Direitos Difusos		2020
202625	Consolidacao do Sistema Penitencicrio Federal		2070
202433	Reintegracao Social, Alternativas Penais e Controle Social		2070
202434	Gestco do Sistema Criminal e Penitencicrio		2070
4897	Planejamento do Setor Energctico		2119
4887	Estudos para o Planejamento dos Setores de Geologia, Mineracao e Transformacao Mineral		2119
1379	Atendimento das Demandas por Energia Elctrica em Localidades Isoladas Nco-Supridas pela Rede Elctrica Convencional		2033
20186	Coordenacao das Acaes de Integracao Elctrica com os Pacses Vizinhos		2033
20187	Monitoramento da Expansco e do Desempenho dos Sistemas Elctricos em Apoio ao CMSE		2033
4892	Planejamento dos Setores de Petrcleo, Derivados, Gcs Natural e Combustcveis Renovcveis		2119
103636	Monitoramento da Recuperacao Ambiental da Bacia Carboncfera de Santa Catarina		2067
21228	Regulacao da Distribuicao e Revenda de Derivados de Petrcleo, Gcs Natural e Biocombustcveis		2022
21229	Regulacao da Exploracao, Desenvolvimento e Producao de Petrcleo e Gcs Natural		2053
202636	Fiscalizacao das Atividades Minercrias		2041
203622	Desenvolvimento Sustentcvel da Pequena Mineracao		2041
2377	Gestco da Emissco, Manutencao e Extincao de Direitos Minercrios		2041
4880	Fiscalizacao dos Servicos de Energia Elctrica		2033
4699	Outorga de Geracao, Transmissco e Distribuicao de Energia Elctrica		2033
4703	Regulamentacao dos Servicos de Energia Elctrica		2033
2993	Ouvidoria Setorial da Agcncia Nacional de Energia Elctrica		2033
21142	Participacao Pcblica na Agenda Regulatcria do Setor Elctrico		2033
2015	Funcionamento do Conselho de Recursos da Previdcncia Social		2061
2276	Auditoria nos Regimes Prcprios dos Servidores Pcblicos		2061
203419	Sustentabilidade e Fomento aos Regimes Pcblico e Geral da Previdcncia Social		2061
21225	Sustentabilidade e Fomento do Regime de Previdcncia Complementar		2061
2589	Avaliacao e Operacionalizacao do Benefccio de Prestacao Continuada da Assistcncia Social (BPC) e Manutencao da Renda Mensal Vitalccia (RMV)	BPC	2037
2591	Reconhecimento de Direitos de Benefccios Previdencicrios		2061
2593	Funcionamento das Unidades Descentralizadas da Previdcncia Social		2061
2294	Defesa Judicial da Previdcncia Social Bcsica		2061
2585	Servico de Reabilitacao Profissional		2061
2563	Gestco da Melhoria Contcnua		2061
203320	Educacao Previdencicria e Financeira		2061
203436	Sistema Nacional de Informacaes de Registro Civil - SIRC		2061
2562	Auditoria Preventiva e Corretiva em Rotinas, Procedimentos e Processos		2061
203430	Gestco da Informacao Corporativa na Previdcncia Social		2061
21026	Apoio c Organizacao Econcmica e Promocao da Cidadania de Mulheres Rurais		2012
2592	Fiscalizacao das Entidades de Previdcncia Complementar		2061
2367	Anclise e Divulgacao da Polctica Externa Brasileira, de Relacaes Internacionais e da Histcria Diplomctica do Brasil		2057
8315	Pesquisa e Desenvolvimento Tecnolcgico em Sacde		2015
7674	Modernizacao de Unidades de Sacde da Fundacao Oswaldo Cruz	FIOCRUZ	2055
6179	Comunicacao e Informacaes para a Educacao em Sacde e em Cicncia e Tecnologia	Educacao em Sacde	2015
8327	Servico Laboratorial de Refercncia para o Controle de Doencas	Laboratcrio	2015
202316	Imunobiolcgicos e Insumos para Prevencao e Controle de Doencas		2015
6174	Anclise da Qualidade de Produtos e Insumos de Sacde		2015
202312	Educacao e Formacao em Sacde		2015
20197	Manutencao do Patrimcnio Histcrico e Cultural de Cicncia e da Sacde na Fiocruz		2015
20198	Apoio c Implantacao e Manutencao dos Sistemas de Saneamento Bcsico e Acaes de Sacde Ambiental		2115
20366	Fortalecimento da Sacde Ambiental para Reducao dos Riscos c Sacde Humana		2015
201533	Apoio c Gestco dos Sistemas de Saneamento Bcsico em Municcpios de atc 50.000 Habitantes	Saneamento Bcsico	2068
6908	Fomento c Educacao em Sacde voltada para o Saneamento Ambiental para Prevencao e Controle de Doencas e Agravos		2068
6138	Vigilcncia Sanitcria em Portos, Aeroportos, Fronteiras e Recintos Alfandegados		2015
8719	Vigilcncia Sanitcria de Produtos, Servicos e Ambientes, Tecidos, Cclulas e crgcos Humanos	Vigilcncia Sanitcria	2015
4339	Qualificacao da Regulacao e Fiscalizacao da Sacde Suplementar		2015
201933	Atuacao Internacional do Ministcrio da Sacde		2015
8648	Desenvolvimento e Fortalecimento da Economia da Sacde para o Aperfeicoamento do SUS	Economia da Sacde	2015
8753	Monitoramento e Avaliacao da Gestco do SUS	Avaliacao da Gestco SUS	2015
202319	Apoio Institucional para Aprimoramento do SUS		2115
2016	Funcionamento do Conselho Nacional de Sacde	CNS	2015
8287	Aprimoramento da Articulacao e Cooperacao Interfederativa e da Gestco Compartilhada do SUS	Gestco Descentralizada	2015
8708	Auditoria do Sistema cnico de Sacde	Auditoria	2015
202320	Sistemas de Tecnologia de Informacao e Comunicacao para a Sacde (e-Saude)		2015
6182	Ouvidoria Nacional de Sacde	Ouvidoria	2015
21352	Desenvolvimento Institucional da Gestco Orcamentcria, Financeira e Contcbil do Fundo Nacional de Sacde e dos Fundos Estaduais e Municipais de Sacde	Apoio aos Fundos de Sacde	2015
